INFO 2025-05-08 17:06:16,773 autoreload 7104 25060 Watching for file changes with StatReloader
DEBUG 2025-05-08 17:06:16,775 autoreload 7104 25060 Waiting for apps ready_event.
DEBUG 2025-05-08 17:06:17,593 autoreload 7104 25060 Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2025-05-08 17:06:17,634 autoreload 7104 25060 Watching dir C:\Users\Нияз\PycharmProjects\metallurg_production\shift_assignment\templates with glob **/*.
DEBUG 2025-05-08 17:06:17,635 autoreload 7104 25060 Watching dir C:\Users\Нияз\PycharmProjects\metallurg_production\templates with glob **/*.
DEBUG 2025-05-08 17:06:17,635 autoreload 7104 25060 Watching dir C:\Users\Нияз\PycharmProjects\metallurg_production\production_plan\templates with glob **/*.
DEBUG 2025-05-08 17:06:17,636 autoreload 7104 25060 Watching dir C:\Users\Нияз\PycharmProjects\metallurg_production\users\templates with glob **/*.
DEBUG 2025-05-08 17:06:17,636 autoreload 7104 25060 Watching dir C:\Users\Нияз\PycharmProjects\metallurg_production\locale with glob **/*.mo.
DEBUG 2025-05-08 17:06:17,637 autoreload 7104 25060 Watching dir C:\Users\Нияз\PycharmProjects\metallurg_production\.venv\Lib\site-packages\crispy_forms\locale with glob **/*.mo.
DEBUG 2025-05-08 17:06:17,637 autoreload 7104 25060 Watching dir C:\Users\Нияз\PycharmProjects\metallurg_production\users\locale with glob **/*.mo.
DEBUG 2025-05-08 17:06:17,637 autoreload 7104 25060 Watching dir C:\Users\Нияз\PycharmProjects\metallurg_production\production_plan\locale with glob **/*.mo.
DEBUG 2025-05-08 17:06:17,638 autoreload 7104 25060 Watching dir C:\Users\Нияз\PycharmProjects\metallurg_production\shift_assignment\locale with glob **/*.mo.
DEBUG 2025-05-08 17:06:17,811 utils 7104 24176 (0.032) 
            SELECT
                c.relname,
                CASE
                    WHEN c.relispartition THEN 'p'
                    WHEN c.relkind IN ('m', 'v') THEN 'v'
                    ELSE 't'
                END,
                obj_description(c.oid, 'pg_class')
            FROM pg_catalog.pg_class c
            LEFT JOIN pg_catalog.pg_namespace n ON n.oid = c.relnamespace
            WHERE c.relkind IN ('f', 'm', 'p', 'r', 'v')
                AND n.nspname NOT IN ('pg_catalog', 'pg_toast')
                AND pg_catalog.pg_table_is_visible(c.oid)
        ; args=None; alias=default
DEBUG 2025-05-08 17:06:17,815 utils 7104 24176 (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2025-05-08 17:06:17,989 autoreload 7104 25060 File C:\Users\Нияз\PycharmProjects\metallurg_production\.venv\Lib\site-packages\pandas\core\algorithms.py first seen with mtime 1744484128.160534
DEBUG 2025-05-08 17:06:17,990 autoreload 7104 25060 File C:\Users\Нияз\PycharmProjects\metallurg_production\.venv\Lib\site-packages\django\template\backends\base.py first seen with mtime 1744465212.5189903
